image_type,width,height,p,runtime_seconds
grey,1920,630,1,0.135349
grey,1920,630,2,0.058952
grey,1920,630,4,0.029508
grey,1920,630,9,0.045536
grey,1920,630,16,0.118375
grey,1920,630,25,0.051866
grey,1920,1260,1,0.168524
grey,1920,1260,2,0.062289
grey,1920,1260,4,0.06631
grey,1920,1260,9,0.097024
grey,1920,1260,16,0.214076
grey,1920,1260,25,0.06084
grey,1920,2520,1,0.266757
grey,1920,2520,2,0.142105
grey,1920,2520,4,0.12595
grey,1920,2520,9,0.212341
grey,1920,2520,16,0.311424
grey,1920,2520,25,0.090822
grey,1920,5040,1,0.400282
grey,1920,5040,2,0.2264
grey,1920,5040,4,0.15724
grey,1920,5040,9,0.315018
grey,1920,5040,16,0.169763
grey,1920,5040,25,0.141774
rgb,1920,630,1,0.207876
rgb,1920,630,2,0.127376
rgb,1920,630,4,0.083356
rgb,1920,630,9,0.13293
rgb,1920,630,16,0.234371
rgb,1920,630,25,0.063823
rgb,1920,1260,1,0.237704
rgb,1920,1260,2,0.189659
rgb,1920,1260,4,0.185095
rgb,1920,1260,9,0.241319
rgb,1920,1260,16,0.086273
rgb,1920,1260,25,0.109615
rgb,1920,2520,1,0.460036
rgb,1920,2520,2,0.340293
rgb,1920,2520,4,0.185292
rgb,1920,2520,9,0.137996
rgb,1920,2520,16,0.164725
rgb,1920,2520,25,0.192534
rgb,1920,5040,1,0.930683
rgb,1920,5040,2,0.612086
rgb,1920,5040,4,0.32482
rgb,1920,5040,9,0.332837
rgb,1920,5040,16,0.448897
rgb,1920,5040,25,0.635035
